run_timestamp,model,target,target_family,cv_folds,slice_type,slice_value,rows,target_unit,scaled_unit,unit_scale,mae,rmse,r2_score,mae_scaled,rmse_scaled,rmsle_scaled,r2_score_scaled
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,overall,all,29280,native,ms,1000.0,0.0030200545749241013,0.02048267230571607,0.026668407052219623,3.0200545749241012,20.482672305716072,0.7877374877900313,0.02666840705221929
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,qos_class,Bronze,15697,native,ms,1000.0,0.004894255025396893,0.027761343749245312,0.03487661968456646,4.894255025396892,27.761343749245313,0.9945006647188432,0.03487661968456646
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,qos_class,Gold,4592,native,ms,1000.0,0.0005393913638643345,0.002312007208442972,-9.200858810862865,0.5393913638643345,2.3120072084429717,0.3691427501673524,-9.200858810862858
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,qos_class,Silver,8991,native,ms,1000.0,0.0010149251114734326,0.004245100266635208,-15.66963615131651,1.0149251114734326,4.245100266635207,0.4738243304438354,-15.669636151316514
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scenario,A_wfq_fixed,6560,native,ms,1000.0,0.0012624741381329272,0.00322847376561621,-0.0864988321342659,1.2624741381329274,3.22847376561621,0.6459722640363901,-0.08649883213426568
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scenario,B_wfq_profiles,8240,native,ms,1000.0,0.00198814617757006,0.006353763443595267,0.14123493128394948,1.9881461775700597,6.353763443595267,0.7066016678580342,0.1412349312839496
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scenario,C_mixed_policy,7600,native,ms,1000.0,0.003802771213152379,0.011410608294397237,0.14190767455849085,3.8027712131523796,11.410608294397239,0.9363189806427576,0.14190767455849085
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scenario,D_mixed_equal,6880,native,ms,1000.0,0.005067148529722427,0.03979154561668833,0.00838952843180596,5.067148529722427,39.791545616688325,0.8225373939213751,0.00838952843180607
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scheduling_policy,DRR,1840,native,ms,1000.0,0.001470788824851501,0.005501340701924003,-0.014674870028216214,1.4707888248515009,5.5013407019240015,0.6501707626983347,-0.01467487002821577
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scheduling_policy,SP,8120,native,ms,1000.0,0.005222286068526656,0.03695253253409622,-0.008787710976249308,5.222286068526656,36.95253253409622,0.9532585582445021,-0.008787710976249308
2026-05-23T14:03:09,XGBRegressor,jitter,jitter,5,scheduling_policy,WFQ,19320,native,ms,1000.0,0.0022420281386964012,0.007683786999915613,0.27181684765776815,2.242028138696401,7.683786999915613,0.7198983733167255,0.27181684765776803
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,overall,all,29280,native,ms,1000.0,0.029757366631731265,0.09444691672318604,0.36228330125420205,29.757366631731262,94.44691672318605,0.49259035214520086,0.36228330125420205
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,qos_class,Bronze,15697,native,ms,1000.0,0.04731859037624827,0.12778847119516956,0.33997820218426367,47.31859037624827,127.78847119516956,0.6169549020376464,0.3399782021842638
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,qos_class,Gold,4592,native,ms,1000.0,0.008302302953489995,0.017684699579772367,0.6112494645347769,8.302302953489995,17.684699579772367,0.25217638587817975,0.6112494645347768
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,qos_class,Silver,8991,native,ms,1000.0,0.010055789865275968,0.019496401614563032,0.5658356839672583,10.055789865275967,19.496401614563034,0.3052633276363919,0.5658356839672583
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scenario,A_wfq_fixed,6560,native,ms,1000.0,0.02031977385881331,0.04538236201060622,0.21483458249584375,20.31977385881331,45.38236201060622,0.455810270726404,0.21483458249584353
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scenario,B_wfq_profiles,8240,native,ms,1000.0,0.028723653196026686,0.07815692406058412,0.3608320304633078,28.72365319602668,78.15692406058412,0.48785176175184103,0.36083203046330803
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scenario,C_mixed_policy,7600,native,ms,1000.0,0.041904599053993304,0.11186589656411759,0.4868110895108757,41.9045990539933,111.86589656411759,0.5464501730184428,0.4868110895108757
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scenario,D_mixed_equal,6880,native,ms,1000.0,0.02657559931942836,0.12189934606463729,0.17098654954428438,26.57559931942836,121.89934606463729,0.46866863302409173,0.17098654954428438
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scheduling_policy,DRR,1840,native,ms,1000.0,0.021915333599582747,0.0627745276705208,0.10767096855650848,21.915333599582752,62.774527670520804,0.4186882287350205,0.10767096855650815
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scheduling_policy,SP,8120,native,ms,1000.0,0.02443283326139807,0.1121605168251614,0.1728473904064901,24.432833261398073,112.1605168251614,0.4712002079674754,0.1728473904064901
2026-05-23T14:03:10,XGBRegressor,delay_p90,tail_delay,5,scheduling_policy,WFQ,19320,native,ms,1000.0,0.032742074279053145,0.08863580011615177,0.45179168690281646,32.74207427905314,88.63580011615177,0.5076648897573464,0.4517916869028167
