run_timestamp,model,target,cv_folds,qos_class,sla_threshold_ms,rows,actual_violations,predicted_violations,actual_violation_rate,predicted_violation_rate,precision,recall,f1_score
2026-05-24T06:23:34,XGBRegressor,log_avg_delay,5,Gold,30.0,30246,17320,20118,0.5726377041592277,0.6651458044038882,0.8170792325280843,0.9490762124711316,0.878145200064106
2026-05-24T06:23:34,XGBRegressor,log_avg_delay,5,Silver,50.0,59216,25446,27724,0.4297149419075925,0.4681842745203999,0.7600634829029,0.8281065786371139,0.7926274214782772
2026-05-24T06:23:34,XGBRegressor,log_avg_delay,5,Bronze,100.0,100866,46492,43883,0.46092836039894514,0.4350623599627228,0.8140282113802612,0.7683472425363503,0.7905283540802213
