run_timestamp,model,target,cv_folds,qos_class,sla_threshold_ms,rows,actual_violations,predicted_violations,actual_violation_rate,predicted_violation_rate,precision,recall,f1_score
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,Gold,30.0,4592,1319,1193,0.28723867595818814,0.25979965156794427,0.9941324392288349,0.8991660348749052,0.9442675159235668
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,Silver,50.0,8991,671,521,0.07463018574129686,0.0579468357246135,0.8234165067178503,0.639344262295082,0.7197986577181208
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,Bronze,60.0,15697,1728,1585,0.11008472956615914,0.1009747085430337,0.6189274447949527,0.5677083333333334,0.5922124962269846
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,Gold,30.0,4592,1319,1224,0.28723867595818814,0.2665505226480836,0.9787581699346405,0.9082638362395754,0.9421942587495085
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,Silver,50.0,8991,671,607,0.07463018574129686,0.06751195640084529,0.7907742998352554,0.7153502235469449,0.7511737089201878
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,Bronze,60.0,15697,1728,1779,0.11008472956615914,0.11333375804293815,0.5907813378302417,0.6082175925925926,0.5993726832050186
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,Gold,30.0,4592,1319,1208,0.28723867595818814,0.26306620209059234,0.9801324503311258,0.8976497346474602,0.9370795409576573
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,Silver,50.0,8991,671,466,0.07463018574129686,0.05182960738516294,0.8390557939914163,0.5827123695976155,0.6877748460861918
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,Bronze,60.0,15697,1728,1679,0.11008472956615914,0.10696311397082245,0.5973793924955331,0.5804398148148148,0.5887877898444379
