run_timestamp,model,target,target_family,cv_folds,slice_type,slice_value,rows,target_unit,scaled_unit,unit_scale,mae,rmse,r2_score,mae_scaled,rmse_scaled,rmsle_scaled,r2_score_scaled
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,overall,all,190328,native,%,100.0,0.07806441824812797,0.14445812797165564,0.010917428807035723,7.806441824812796,14.44581279716556,1.2497338401776834,0.010917428807035834
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,qos_class,Bronze,100866,native,%,100.0,0.10459525302467504,0.17226548287631596,-0.13021682383371247,10.459525302467503,17.226548287631594,1.286564071248966,-0.13021682383371225
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,qos_class,Gold,30246,native,%,100.0,0.03483358302748728,0.08493758379349149,-0.009571512672852833,3.4833583027487283,8.49375837934915,1.0932470006470294,-0.009571512672852611
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,qos_class,Silver,59216,native,%,100.0,0.054954121394444874,0.11331483154366191,-0.04759586283340633,5.495412139444487,11.331483154366191,1.26094926074815,-0.04759586283340633
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scenario,A_wfq_fixed,46500,native,%,100.0,0.07480955231310617,0.13756388183475693,0.14531400209284195,7.480955231310617,13.756388183475694,1.18266092857721,0.14531400209284173
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scenario,B_wfq_profiles,47300,native,%,100.0,0.06549756035599888,0.12159974566038982,0.24320436863786588,6.549756035599889,12.159974566038983,1.2033569181901786,0.24320436863786588
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scenario,C_mixed_policy,48087,native,%,100.0,0.08505746057184471,0.15926808091496628,-0.2076633834525945,8.50574605718447,15.926808091496627,1.2028815053647686,-0.2076633834525945
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scenario,D_mixed_equal,48441,native,%,100.0,0.08651777837809332,0.15558816068768894,-0.1284306478778141,8.651777837809332,15.558816068768893,1.3941317487748088,-0.1284306478778141
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scheduling_policy,DRR,43363,native,%,100.0,0.09014335532281349,0.17023724423834247,-0.3511775540919573,9.014335532281349,17.023724423834246,1.269342643137152,-0.3511775540919577
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scheduling_policy,SP,31978,native,%,100.0,0.07910407945666846,0.14824527235655086,-0.06945802247994459,7.9104079456668455,14.824527235655085,1.260509932237314,-0.06945802247994459
2026-05-24T10:32:42,XGBRegressor,packet_loss_rate,loss,5,scheduling_policy,WFQ,114987,native,%,100.0,0.07322017294651738,0.13228954771156848,0.17074208116254663,7.3220172946517375,13.22895477115685,1.239227180642656,0.17074208116254663
