model,test_rows,mae_log_delay,rmse_log_delay,r2_log_delay,mae_delay_ms,rmse_delay_ms
LinearRegression,5856,0.22666657254151745,0.4151696081869189,0.6849172370794169,15.878217207774886,74.8930193622325
SVR_rbf,5856,0.17401081604187957,0.3909269808942013,0.7206396104056563,13.562217975484883,73.4092402465091
RandomForestRegressor,5856,0.18098334148774142,0.3639586824477027,0.7578537737721845,13.419514218679842,67.62912964716702
XGBRegressor,5856,0.1845974550510098,0.3588362084253181,0.7646218988400726,13.523946014966508,69.97681800000906
PyTorchMLP,5856,0.1853996912182736,0.3574052090852631,0.7664954795278096,13.670200260614846,69.12432208728087
