run_timestamp,model,target,cv_folds,slice_type,slice_value,rows,mae_log_delay,rmse_log_delay,r2_log_delay,mae_delay_ms,rmse_delay_ms,rmsle_delay_ms
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,overall,all,29280,0.18335763298702173,0.35597920226430435,0.7656623545678268,12.631099188288202,60.01718155585412,0.34923401910976604
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,qos_class,Bronze,15697,0.2499825129605913,0.4592595968475545,0.7039348364523788,20.6754831497386,81.5763560161698,0.45141247072215007
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,qos_class,Gold,4592,0.0981579092383689,0.16541451763175447,0.9138646838687986,3.053555019161615,8.565776184119684,0.15988230229100353
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,qos_class,Silver,8991,0.11055442872817317,0.17455439777365608,0.9081422792478466,3.4783228321256336,8.64914445374536,0.16844467252181444
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scenario,A_wfq_fixed,6560,0.15669481754418274,0.2638949801587494,0.7961330406055432,6.15594971515239,23.240807066822235,0.2569894052799753
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scenario,B_wfq_profiles,8240,0.18641459823687087,0.3592961292603121,0.7582682426026651,12.014226717872964,49.72755986485143,0.3523106661627393
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scenario,C_mixed_policy,7600,0.22809500469200208,0.44261544373954037,0.7425528365503316,21.319476002622338,82.67233235883829,0.43552368977225503
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scenario,D_mixed_equal,6880,0.15569987872661709,0.3191827781623331,0.7787647339155244,9.946265745127306,65.59780998050422,0.3128835505899252
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scheduling_policy,DRR,1840,0.16363989136064666,0.30828545325793816,0.6782786288588969,8.009399350256475,35.38428971476124,0.30231275830593846
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scheduling_policy,SP,8120,0.13992676938191415,0.288153216845426,0.8061771965337974,8.273736166529732,60.24303227436626,0.2823247416189493
2026-06-01T08:59:49,XGBRegressor,log_avg_delay,5,scheduling_policy,WFQ,19320,0.2034890645121772,0.3848382317586616,0.7563602770581626,14.902616550537536,61.761294664915404,0.37767209197435303
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,overall,all,29280,0.1800337104166632,0.35555046431617754,0.7662264826877591,12.577147976130389,59.02527705474852,0.3486844311337065
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,qos_class,Bronze,15697,0.24385467030690483,0.4583439042764908,0.7051142757163102,20.59620031458547,80.22531087526748,0.45038386802606883
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,qos_class,Gold,4592,0.10144778327928763,0.1670036084973361,0.9122017788861168,3.084972878552716,8.39306389420042,0.16107162690868213
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,qos_class,Silver,8991,0.10874786568500998,0.17513690613926616,0.9075281764523752,3.4249962122940256,8.56832935305415,0.16896440129490997
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scenario,A_wfq_fixed,6560,0.14348237336996553,0.25704078019618576,0.8065856694330288,5.8177684301420935,23.297103103808823,0.2505413845043249
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scenario,B_wfq_profiles,8240,0.18175059020637835,0.35950365226716013,0.7579889220966352,11.8727568717186,49.45144115023995,0.3525302219321543
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scenario,C_mixed_policy,7600,0.23099731096695839,0.4363430478780877,0.7497978102028194,21.366586745708823,79.85132092625695,0.42892704036684537
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scenario,D_mixed_equal,6880,0.1565317216632969,0.3315047112124172,0.7613536119606643,10.15650522514787,65.85828441493224,0.3248045373970702
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scheduling_policy,DRR,1840,0.15643159172029378,0.29323768774532016,0.70891929482761,7.780282273463913,34.321989219701514,0.2875157374881706
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scheduling_policy,SP,8120,0.14707781187724808,0.29812961547617217,0.7925238567710031,8.61152958292259,60.24038903553215,0.29185584231013434
2026-06-05T15:13:35,PyTorchMLP,log_avg_delay,5,scheduling_policy,WFQ,19320,0.19613256106580246,0.3821543163343558,0.7597467814771116,14.700701508519296,60.354718185624726,0.3749480560211156
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,overall,all,29280,0.18169781453414346,0.35912392023526707,0.7615037924998576,12.585019164052971,58.69622948052679,0.35213391257157983
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,qos_class,Bronze,15697,0.24399427962453116,0.46021473599074136,0.7027020805724844,20.52100950273628,79.72520780073032,0.4522133659881939
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,qos_class,Gold,4592,0.10439105329028066,0.17857423551759521,0.8996143569118715,3.1959664057229737,9.016520507424751,0.17238389822165565
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,qos_class,Silver,8991,0.11242020749465982,0.18424822740847463,0.8976563947438586,3.525213794231978,9.021068043762863,0.1777980742295782
2026-06-05T19:31:54,FTTransformer,log_avg_delay,5,scenario,A_wfq_fixed,6560,0.1470630253687546,0.25676504395565336,0.8070004109007354,5.870535766525212,23.22155883306167,0.25013447211199424
