simulation_id,scenario,tos,qos_class,offered_bandwidth,time_distribution,routing_hops,n_nodes,max_avg_lambda,link_bandwidth,scheduling_policy,tos_queue_weight,min_tos_weight,avg_delay,jitter,packet_loss_rate,delay_p10,delay_p50,delay_p90,actual_bandwidth,log_avg_delay
results_qos_sdwan_0_9_3,A_wfq_fixed,2,Bronze,3721.0,1,1,6,9798.0,100000,WFQ,10.0,10.0,0.009622,1.8e-05,0.0,0.005,0.01,0.014,3.71687,-4.643703135704875
results_qos_sdwan_0_9_3,A_wfq_fixed,2,Bronze,5622.0,4,2,6,9798.0,100000,WFQ,10.0,10.0,0.02351,0.000231,0.0,0.006,0.034,0.040393,1.95227,-3.750329416430159
results_qos_sdwan_0_9_3,A_wfq_fixed,2,Bronze,8502.0,4,3,6,9798.0,100000,WFQ,10.0,10.0,0.033629,0.000468,0.0,0.009,0.050381,0.056911,2.91914,-3.392366489027401
results_qos_sdwan_0_9_3,A_wfq_fixed,0,Gold,4324.0,4,3,6,9798.0,100000,WFQ,60.0,60.0,0.031573,0.000158,0.0,0.015,0.03,0.046105,1.606,-3.455452954002714
results_qos_sdwan_0_9_3,A_wfq_fixed,1,Silver,9798.0,0,1,6,9798.0,100000,WFQ,30.0,30.0,0.009776,1.9e-05,0.0,0.005,0.01,0.014,9.79153,-4.627824876552897
results_qos_sdwan_0_9_3,A_wfq_fixed,0,Gold,3631.0,0,1,6,9798.0,100000,WFQ,60.0,60.0,0.010802,5.7e-05,0.0,0.003,0.017,0.017,3.65332,-4.528023976811437
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,4444.0,4,1,6,9609.0,100000,WFQ,30.0,30.0,0.011045,5.8e-05,0.0,0.003,0.017,0.017,1.44293,-4.505777442110056
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,8246.0,0,1,6,9609.0,100000,WFQ,10.0,10.0,0.01236,7.7e-05,0.0,0.003,0.017,0.021478,8.24552,-4.393289826952592
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,6002.0,0,2,6,9609.0,100000,WFQ,10.0,10.0,0.026367,0.000306,0.0,0.006,0.034,0.046608,6.01225,-3.6356420507315192
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,9198.0,1,1,6,9609.0,100000,WFQ,60.0,60.0,0.012341,7e-05,0.0,0.003,0.017,0.021611,9.21755,-4.39482822651109
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,9192.0,4,2,6,9609.0,100000,WFQ,60.0,60.0,0.023719,0.000219,0.0,0.006,0.034,0.041249,3.24837,-3.741478864257328
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,5981.0,0,1,6,9609.0,100000,WFQ,30.0,30.0,0.011011,5.9e-05,0.0,0.003,0.017,0.017,5.95665,-4.5088605058506825
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,5893.0,4,1,6,9609.0,100000,WFQ,30.0,30.0,0.010038,4.8e-05,0.0,0.003,0.017,0.017,1.97955,-4.6013773877493955
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,9146.0,4,3,6,9609.0,100000,WFQ,10.0,10.0,0.03427,0.000254,0.0,0.015,0.030832,0.053324,3.11788,-3.3734849430956197
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,9609.0,4,2,6,9609.0,100000,WFQ,10.0,10.0,0.025515,0.000291,0.0,0.006,0.034,0.044852,3.45045,-3.6684887644662023
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,5268.0,4,3,6,9609.0,100000,WFQ,10.0,10.0,0.034564,0.000256,0.0,0.015,0.031416,0.053584,1.82483,-3.3649426010029844
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,6239.0,1,1,6,9609.0,100000,WFQ,30.0,30.0,0.01098,6e-05,0.0,0.003,0.017,0.017,6.24317,-4.511679842900753
